               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10372,            0.021959,                   0,            0.001748,             0.52439,           0.0029995,          0.00077348,            0.077965,             0.01198,                   0,            0.070194,           0.0033118,           0.0033118
                   1,            0.076258,             0.01722,                   0,           0.0032927,              0.9878,              0.1698,            0.051634,            0.074437,           0.0083225,                   0,            0.040062,           0.0065136,           0.0065136
                   2,            0.064497,            0.015783,                   0,           0.0033333,                   1,             0.45042,              0.1646,             0.06057,           0.0082793,                   0,           0.0097984,           0.0095833,           0.0095833
                   3,            0.056898,            0.016648,                   0,             0.19945,             0.87805,             0.72925,             0.35528,            0.042006,           0.0084126,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.049553,            0.014814,                   0,              0.7973,             0.56098,              0.7609,             0.29027,            0.040419,           0.0071827,                   0,            0.009406,            0.009406,            0.009406
                   5,             0.04438,            0.013278,                   0,             0.69708,             0.64547,             0.70984,             0.21124,            0.046198,           0.0060595,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.043036,            0.011578,                   0,             0.66252,             0.62246,             0.70883,             0.21825,            0.046126,           0.0055415,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.040645,            0.010339,                   0,             0.84201,             0.90244,              0.9204,             0.41489,            0.035599,            0.005033,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.039711,           0.0090991,                   0,             0.81119,             0.91463,             0.91022,             0.58878,            0.030124,           0.0048343,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.038123,            0.008495,                   0,             0.83138,             0.90192,             0.93809,             0.55336,            0.030741,           0.0047555,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.035936,           0.0081127,                   0,             0.87832,             0.88028,             0.93809,             0.39645,            0.043929,           0.0042354,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.035721,           0.0084728,                   0,             0.93754,             0.89024,             0.95748,             0.50039,             0.03449,           0.0040423,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.033028,           0.0074422,                   0,             0.85677,             0.92683,             0.93695,             0.57248,            0.029019,           0.0040363,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.032188,           0.0067994,                   0,             0.89403,             0.95122,             0.96806,             0.56862,            0.029625,           0.0040091,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.032074,           0.0070147,                   0,             0.92335,             0.89024,              0.9387,             0.49461,            0.035531,           0.0038011,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.031427,           0.0064911,                   0,             0.80377,             0.94911,             0.92956,             0.47709,            0.034933,           0.0040004,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.031885,           0.0067251,                   0,             0.80566,             0.97561,             0.92645,             0.62326,            0.026042,           0.0038585,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.030171,           0.0067139,                   0,             0.91486,             0.91737,             0.95927,             0.59023,            0.028363,           0.0037598,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.030778,           0.0067426,                   0,             0.88933,             0.93902,             0.96092,             0.66601,            0.023885,           0.0036855,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.029218,            0.006347,                   0,             0.90231,             0.95122,             0.96387,             0.65428,             0.02376,           0.0036346,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.028009,           0.0064743,                   0,              0.8367,             0.96341,             0.92759,             0.59581,            0.026249,           0.0036784,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.028051,           0.0060941,                   0,             0.84528,             0.96341,             0.95598,             0.60892,            0.025505,           0.0035859,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.027021,           0.0058858,                   0,             0.85562,             0.96341,             0.94586,             0.58206,            0.026999,           0.0035673,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.026781,           0.0059536,                   0,             0.91747,             0.92683,             0.96866,             0.55625,            0.032051,           0.0033871,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.026577,            0.005777,                   0,              0.8866,             0.95345,             0.96805,             0.60163,            0.026532,           0.0033548,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.026465,           0.0058896,                   0,             0.87625,             0.96341,             0.97114,             0.50397,            0.032116,           0.0033906,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.025882,           0.0057887,                   0,             0.86958,             0.97561,             0.96878,             0.62822,            0.025571,           0.0033293,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.02479,           0.0055821,                   0,             0.92779,             0.94013,             0.96741,             0.66811,            0.023958,           0.0033115,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.025312,           0.0055425,                   0,              0.9146,             0.93902,             0.97072,              0.6342,            0.025484,           0.0033512,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.025171,           0.0056842,                   0,             0.89115,             0.96341,             0.96151,             0.66367,            0.024041,           0.0033292,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.023476,           0.0054308,                   0,             0.87711,             0.95752,             0.96462,             0.64374,            0.027204,           0.0033056,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.023502,           0.0051848,                   0,              0.9098,             0.95122,             0.97096,             0.67973,            0.022476,            0.003296,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.023609,           0.0054424,                   0,             0.89534,             0.97561,             0.96553,             0.59344,            0.026234,           0.0033989,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.023089,           0.0055306,                   0,             0.88803,             0.97561,             0.97112,              0.6581,            0.024116,           0.0032222,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.022597,           0.0054078,                   0,             0.88847,             0.97561,             0.96572,              0.6253,            0.026955,           0.0032345,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.022244,           0.0052303,                   0,             0.86565,             0.97561,             0.96239,             0.66585,            0.023654,           0.0032216,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.021751,           0.0053896,                   0,             0.86711,             0.97561,             0.95051,              0.5838,            0.028276,           0.0032901,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.022006,            0.005192,                   0,             0.88595,             0.97561,             0.96973,             0.65393,            0.023478,           0.0031263,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.021264,           0.0050996,                   0,             0.91488,             0.95122,             0.96871,             0.64783,            0.022886,           0.0031492,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.020088,           0.0046894,                   0,             0.90575,             0.97561,               0.966,             0.66325,             0.02303,           0.0031413,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.019965,            0.004734,                   0,             0.90516,             0.96341,             0.96905,             0.67821,            0.023053,           0.0031286,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.020191,           0.0048686,                   0,              0.9046,             0.96341,             0.96519,             0.64457,            0.024332,           0.0031103,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.019861,           0.0049504,                   0,              0.9312,             0.95122,             0.97208,             0.68729,            0.022601,           0.0030944,                   0,            0.001882,            0.001882,            0.001882
                  43,             0.01965,            0.004843,                   0,             0.92449,             0.96341,             0.97176,             0.65097,            0.023482,           0.0031765,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.019462,           0.0047759,                   0,             0.89388,             0.97561,             0.96962,              0.6485,            0.022998,           0.0031787,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.019345,           0.0049317,                   0,             0.89779,              0.9641,             0.96775,             0.65587,            0.023301,           0.0031952,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.01936,            0.004728,                   0,             0.90772,             0.96341,              0.9715,             0.63531,            0.024036,           0.0031242,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.019119,            0.005068,                   0,             0.90078,             0.96341,             0.97321,             0.66288,            0.023027,           0.0031091,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.019265,           0.0047087,                   0,             0.89853,             0.97196,             0.97164,             0.65485,            0.023885,           0.0031404,                   0,            0.000694,            0.000694,            0.000694
                  49,             0.01914,           0.0049516,                   0,             0.89744,             0.96341,              0.9712,             0.66089,            0.022276,           0.0031087,                   0,            0.000496,            0.000496,            0.000496
